id,serviceScore, shiftStartTime, shiftEndTime,shiftDuration,currentLat,currentLon,headingLat,headingLon,available,emptyCarMode,currentServePaxId,timeUntilAvailable,online, number of served pax,totIncome,avg income per pax
4971,211,2607,10204,7597,1403,194,-1,-1,true,2,-1,-100,true,0,0,NaN
936,13,2610,10928,8318,1998,493,-1,-1,true,2,-1,-100,true,0,0,NaN
10075,52,2611,11378,8767,1165,2449,-1,-1,true,2,-1,-100,true,0,0,NaN
4066,57,2611,10742,8131,1598,1326,-1,-1,true,2,-1,-100,true,0,0,NaN
4684,73,2614,10431,7817,1861,847,-1,-1,true,2,-1,-100,true,0,0,NaN
2873,69,2619,11373,8754,1022,828,-1,-1,true,2,-1,-100,true,0,0,NaN
2084,49,1828,10431,8603,998,2190,-1,-1,true,2,-1,0,true,1,117,117.0
9896,94,2625,10026,7401,543,506,-1,-1,true,2,-1,-100,true,0,0,NaN
7912,35,2626,10229,7603,1683,240,-1,-1,true,2,-1,-100,true,0,0,NaN
4795,72,2626,11470,8844,120,167,-1,-1,true,2,-1,-100,true,0,0,NaN
2839,51,2626,10990,8364,1613,342,-1,-1,true,2,-1,-100,true,0,0,NaN
8468,86,2303,10164,7861,35,1198,-1,-1,true,2,-1,0,true,1,13,13.0
10135,88,2638,10825,8187,995,1286,-1,-1,true,2,-1,-100,true,0,0,NaN
10268,21,2079,11054,8975,497,1784,-1,-1,true,2,-1,0,true,1,135,135.0
6040,66,2649,9997,7348,1426,2138,-1,-1,true,2,-1,-100,true,0,0,NaN
3727,80,999,9212,8213,2084,50,-1,-1,true,2,-1,0,true,2,405,202.5
4859,109,2652,10355,7703,785,1166,-1,-1,true,2,-1,-100,true,0,0,NaN
11684,107,2658,10509,7851,1038,1510,-1,-1,true,2,-1,-100,true,0,0,NaN
11235,47,1256,8666,7410,2570,387,-1,-1,true,2,-1,0,true,2,297,148.5
9564,55,2659,10427,7768,2811,240,-1,-1,true,2,-1,-100,true,0,0,NaN
10452,55,2662,10909,8247,1534,1659,-1,-1,true,2,-1,-100,true,0,0,NaN
8605,50,2664,10268,7604,1402,770,-1,-1,true,2,-1,-100,true,0,0,NaN
10048,58,2666,9940,7274,1902,283,-1,-1,true,2,-1,-100,true,0,0,NaN
8557,89,2666,11306,8640,814,7697,-1,-1,true,2,-1,-100,true,0,0,NaN
1429,70,2672,10503,7831,379,1337,-1,-1,true,2,-1,-100,true,0,0,NaN
8306,29,2675,10052,7377,186,1280,-1,-1,true,2,-1,-100,true,0,0,NaN
302,86,2678,11671,8993,17,470,-1,-1,true,2,-1,-100,true,0,0,NaN
2676,19,2680,10914,8234,1696,640,-1,-1,true,2,-1,-100,true,0,0,NaN
11482,23,2683,10273,7590,1808,517,-1,-1,true,2,-1,-100,true,0,0,NaN
5598,179,2689,10733,8044,1252,546,-1,-1,true,2,-1,-100,true,0,0,NaN
3315,44,2690,10521,7831,92,1740,-1,-1,true,2,-1,-100,true,0,0,NaN
10841,22,2387,10758,8371,2661,6,-1,-1,true,2,-1,0,true,1,156,156.0
6136,106,2691,10892,8201,77,2381,-1,-1,true,2,-1,-100,true,0,0,NaN
8497,27,2693,11462,8769,120,1398,-1,-1,true,2,-1,-100,true,0,0,NaN
7940,48,2696,11564,8868,510,310,-1,-1,true,2,-1,-100,true,0,0,NaN
4887,332,2696,11142,8446,817,7816,-1,-1,true,2,-1,-100,true,0,0,NaN
8430,76,2698,10337,7639,1576,749,-1,-1,true,2,-1,-100,true,0,0,NaN
8704,39,957,8717,7760,1164,2735,-1,-1,true,2,-1,0,true,3,540,180.0
9506,86,2704,11144,8440,1529,1114,-1,-1,true,2,-1,-100,true,0,0,NaN
11730,111,2709,11646,8937,2994,505,-1,-1,true,2,-1,-100,true,0,0,NaN
5043,65,2712,10138,7426,1305,1472,-1,-1,true,2,-1,-100,true,0,0,NaN
1501,145,1775,9600,7825,2,896,-1,-1,true,2,-1,0,true,1,179,179.0
11727,37,2714,10534,7820,761,1029,-1,-1,true,2,-1,-100,true,0,0,NaN
2277,49,0,8455,8455,182,1679,-1,-1,true,2,-1,0,true,2,400,200.0
8076,78,2716,10461,7745,626,1220,-1,-1,true,2,-1,-100,true,0,0,NaN
10713,95,2311,10722,8411,391,2445,-1,-1,true,2,-1,0,true,1,149,149.0
2436,48,2717,10095,7378,918,7976,-1,-1,true,2,-1,-100,true,0,0,NaN
9398,70,2718,11567,8849,1210,168,-1,-1,true,2,-1,-100,true,0,0,NaN
3635,55,2720,10383,7663,1633,687,-1,-1,true,2,-1,-100,true,0,0,NaN
3585,82,2720,11191,8471,212,1618,-1,-1,true,2,-1,-100,true,0,0,NaN
2952,128,2721,9996,7275,1115,1119,-1,-1,true,2,-1,-100,true,0,0,NaN
11367,64,2722,10417,7695,1641,1486,-1,-1,true,2,-1,-100,true,0,0,NaN
1718,42,1070,8528,7458,745,2664,-1,-1,true,2,-1,0,true,3,541,180.33333333333334
10784,62,1551,10267,8716,889,2474,-1,-1,true,2,-1,0,true,2,342,171.0
270,128,2730,11074,8344,811,1544,-1,-1,true,2,-1,-100,true,0,0,NaN
490,58,2737,11267,8530,2027,240,-1,-1,true,2,-1,-100,true,0,0,NaN
455,69,2737,11734,8997,362,1641,-1,-1,true,2,-1,-100,true,0,0,NaN
2804,86,2740,10488,7748,0,2109,-1,-1,true,2,-1,-100,true,0,0,NaN
10258,118,2387,10375,7988,794,637,-1,-1,true,2,-1,0,true,1,13,13.0
4960,116,2743,10058,7315,921,82,-1,-1,true,2,-1,-100,true,0,0,NaN
4374,81,2221,10563,8342,336,1275,-1,-1,true,2,-1,0,true,1,133,133.0
3569,47,2748,10458,7710,683,578,-1,-1,true,2,-1,-100,true,0,0,NaN
6287,25,2017,9994,7977,195,1901,-1,-1,true,2,-1,0,true,1,228,228.0
8241,32,2757,11631,8874,358,1147,-1,-1,true,2,-1,-100,true,0,0,NaN
10023,26,2429,10274,7845,2113,480,-1,-1,true,2,-1,0,true,1,174,174.0
9076,36,2759,11674,8915,1458,1276,-1,-1,true,2,-1,-100,true,0,0,NaN
11137,79,1634,9706,8072,43,2466,-1,-1,true,2,-1,0,true,1,170,170.0
60,85,2761,11022,8261,1213,1923,-1,-1,true,2,-1,-100,true,0,0,NaN
3574,98,2762,11247,8485,1734,333,-1,-1,true,2,-1,-100,true,0,0,NaN
8835,109,2764,10077,7313,725,2675,-1,-1,true,2,-1,-100,true,0,0,NaN
8843,36,2460,10953,8493,942,2279,-1,-1,true,2,-1,0,true,1,133,133.0
10806,11,2768,10605,7837,1653,3598,-1,-1,true,2,-1,-100,true,0,0,NaN
8096,67,2770,10514,7744,1011,1973,-1,-1,true,2,-1,-100,true,0,0,NaN
6019,60,2770,10518,7748,405,2116,-1,-1,true,2,-1,-100,true,0,0,NaN
543,59,1869,10058,8189,1772,240,-1,-1,true,2,-1,0,true,2,278,139.0
7429,35,2774,11324,8550,463,1126,-1,-1,true,2,-1,-100,true,0,0,NaN
7710,26,2776,10466,7690,527,1830,-1,-1,true,2,-1,-100,true,0,0,NaN
8017,30,2777,10092,7315,169,240,-1,-1,true,2,-1,-100,true,0,0,NaN
2134,82,2510,9731,7221,439,713,-1,-1,true,2,-1,0,true,1,160,160.0
5502,151,797,9457,8660,276,1061,-1,-1,true,2,-1,0,true,1,189,189.0
1611,168,2778,10563,7785,68,473,-1,-1,true,2,-1,-100,true,0,0,NaN
8637,106,2779,11762,8983,754,1903,-1,-1,true,2,-1,-100,true,0,0,NaN
10098,47,2782,10556,7774,2002,525,-1,-1,true,2,-1,-100,true,0,0,NaN
1578,78,2782,10172,7390,1224,752,-1,-1,true,2,-1,-100,true,0,0,NaN
3749,65,2783,11299,8516,893,2014,-1,-1,true,2,-1,-100,true,0,0,NaN
4209,37,2784,10448,7664,908,1353,-1,-1,true,2,-1,-100,true,0,0,NaN
1662,28,2785,10431,7646,524,1621,-1,-1,true,2,-1,-100,true,0,0,NaN
184,64,2789,11286,8497,882,1891,-1,-1,true,2,-1,-100,true,0,0,NaN
4262,75,2790,11571,8781,2070,382,-1,-1,true,2,-1,-100,true,0,0,NaN
10944,43,2792,11700,8908,1538,1445,-1,-1,true,2,-1,-100,true,0,0,NaN
461,76,2793,11782,8989,853,82,-1,-1,true,2,-1,-100,true,0,0,NaN
4294,46,2795,11251,8456,487,1261,-1,-1,true,2,-1,-100,true,0,0,NaN
9991,102,2796,11771,8975,946,882,-1,-1,true,2,-1,-100,true,0,0,NaN
1092,98,2799,11076,8277,1413,1544,-1,-1,true,2,-1,-100,true,0,0,NaN
8754,687,2802,10823,8021,1400,0,-1,-1,true,2,-1,-100,true,0,0,NaN
10378,93,2804,10514,7710,774,1161,-1,-1,true,2,-1,-100,true,0,0,NaN
8761,47,2283,10895,8612,269,2405,-1,-1,true,2,-1,0,true,1,172,172.0
7365,36,2808,10628,7820,2014,1494,-1,-1,true,2,-1,-100,true,0,0,NaN
2430,163,2809,10259,7450,1572,317,-1,-1,true,2,-1,-100,true,0,0,NaN
1271,59,2809,11593,8784,1832,1028,-1,-1,true,2,-1,-100,true,0,0,NaN
9182,105,2810,10395,7585,939,2139,-1,-1,true,2,-1,-100,true,0,0,NaN
6249,70,2811,10698,7887,2424,240,-1,-1,true,2,-1,-100,true,0,0,NaN
832,36,2811,11796,8985,632,1850,-1,-1,true,2,-1,-100,true,0,0,NaN
8756,62,2814,11592,8778,455,2642,-1,-1,true,2,-1,-100,true,0,0,NaN
6562,119,2814,11392,8578,1931,120,-1,-1,true,2,-1,-100,true,0,0,NaN
6511,75,2814,11720,8906,136,1906,-1,-1,true,2,-1,-100,true,0,0,NaN
